iter	Passed	Remaining
618	2317	1426
619	2319	1421
620	2321	1416
621	2322	1411
622	2323	1406
623	2324	1400
624	2325	1395
625	2326	1389
626	2326	1384
627	2327	1378
628	2329	1373
629	2330	1368
630	2331	1363
631	2334	1359
632	2336	1354
633	2337	1349
634	2338	1344
635	2339	1338
636	2340	1333
637	2341	1328
638	2342	1323
639	2344	1318
640	2345	1313
641	2346	1308
642	2349	1304
643	2350	1299
644	2351	1294
645	2352	1289
646	2354	1284
647	2355	1279
648	2356	1274
649	2357	1269
650	2358	1264
651	2359	1259
652	2361	1254
653	2364	1251
654	2365	1246
655	2366	1241
656	2368	1236
657	2369	1231
658	2370	1226
659	2371	1221
660	2371	1216
661	2372	1211
662	2373	1206
663	2374	1201
664	2376	1196
665	2379	1193
666	2380	1188
667	2381	1183
668	2382	1178
669	2383	1173
670	2384	1169
671	2385	1164
672	2386	1159
673	2387	1154
674	2389	1150
675	2389	1145
676	2390	1140
677	2393	1136
678	2395	1132
679	2396	1127
680	2397	1123
681	2398	1118
682	2400	1114
683	2402	1110
684	2404	1105
685	2405	1101
686	2407	1096
687	2408	1092
688	2410	1087
689	2411	1083
690	2412	1078
691	2413	1074
692	2414	1069
693	2415	1065
694	2416	1060
695	2419	1056
696	2420	1052
697	2421	1047
698	2422	1043
699	2424	1039
700	2425	1034
701	2426	1030
702	2427	1025
703	2428	1021
704	2429	1016
705	2430	1012
706	2431	1007
707	2434	1004
708	2436	999
709	2437	995
710	2438	991
711	2439	986
712	2440	982
713	2441	977
714	2442	973
715	2443	969
716	2444	964
717	2445	960
718	2446	956
719	2449	952
720	2451	948
721	2452	944
722	2453	940
723	2454	935
724	2455	931
725	2457	927
726	2457	923
727	2458	918
728	2459	914
729	2460	910
730	2461	905
731	2464	902
732	2466	898
733	2466	893
734	2467	889
735	2468	885
736	2469	881
737	2470	877
738	2471	872
739	2472	868
740	2472	864
741	2473	860
742	2474	856
743	2475	851
744	2477	848
745	2479	844
746	2480	840
747	2482	836
748	2483	832
749	2483	827
750	2484	823
751	2485	819
752	2486	815
753	2487	811
754	2488	807
755	2489	803
756	2490	799
757	2493	795
758	2494	792
759	2495	788
760	2496	784
761	2497	779
762	2497	775
763	2498	771
764	2499	767
765	2500	763
766	2501	760
767	2502	756
768	2503	752
769	2504	748
770	2505	744
771	2508	740
772	2509	737
773	2510	733
774	2511	729
775	2512	725
776	2513	721
777	2514	717
778	2515	713
779	2516	709
780	2517	705
781	2518	702
782	2519	698
783	2522	694
784	2524	691
785	2525	687
786	2526	683
787	2527	680
788	2528	676
789	2529	672
790	2530	668
791	2531	664
792	2532	661
793	2533	657
794	2534	653
795	2537	650
796	2538	646
797	2540	642
798	2541	639
799	2541	635
800	2542	631
801	2543	628
802	2544	624
803	2545	620
804	2546	616
805	2547	613
806	2548	609
807	2549	605
808	2552	602
809	2553	598
810	2554	595
811	2555	591
812	2555	587
813	2556	584
814	2557	580
815	2558	576
816	2559	573
817	2560	569
818	2561	566
819	2562	562
820	2562	558
821	2565	555
822	2567	552
823	2568	548
824	2569	544
825	2570	541
826	2571	537
827	2572	534
828	2573	530
829	2574	527
830	2574	523
831	2575	520
832	2576	516
833	2577	513
834	2579	509
835	2581	506
836	2582	502
837	2583	499
838	2584	496
839	2585	492
840	2586	489
841	2587	485
842	2588	482
843	2589	478
844	2590	475
845	2591	471
846	2592	468
847	2593	464
848	2596	461
849	2597	458
850	2598	454
851	2599	451
852	2600	448
853	2600	444
854	2601	441
855	2602	437
856	2603	434
857	2604	431
858	2605	427
859	2606	424
860	2607	420
861	2609	417
862	2611	414
863	2612	411
864	2613	407
865	2614	404
866	2615	401
867	2616	397
868	2617	394
869	2618	391
870	2619	387
871	2620	384
872	2621	381
873	2622	378
874	2625	375
875	2626	371
876	2627	368
877	2628	365
878	2630	362
879	2630	358
880	2631	355
881	2632	352
882	2633	348
883	2634	345
884	2635	342
885	2636	339
886	2637	336
887	2638	332
888	2641	329
889	2642	326
890	2643	323
891	2644	320
892	2645	316
893	2646	313
894	2647	310
895	2648	307
896	2649	304
897	2650	301
898	2651	297
899	2652	294
900	2655	291
901	2656	288
902	2657	285
903	2658	282
904	2659	279
905	2660	276
906	2661	272
907	2662	269
908	2663	266
909	2664	263
910	2665	260
911	2666	257
912	2667	254
913	2670	251
914	2671	248
915	2672	245
916	2673	242
917	2674	238
918	2676	235
919	2677	232
920	2678	229
921	2679	226
922	2680	223
923	2680	220
924	2682	217
925	2684	214
926	2686	211
927	2687	208
928	2688	205
929	2689	202
930	2690	199
931	2691	196
932	2692	193
933	2692	190
934	2693	187
935	2695	184
936	2696	181
937	2696	178
938	2697	175
939	2700	172
940	2702	169
941	2702	166
942	2703	163
943	2706	160
944	2707	157
945	2708	154
946	2709	151
947	2710	148
948	2711	145
949	2712	142
950	2715	139
951	2716	136
952	2717	134
953	2719	131
954	2720	128
955	2721	125
956	2722	122
957	2723	119
958	2724	116
959	2724	113
960	2726	110
961	2726	107
962	2728	104
963	2730	101
964	2731	99
965	2732	96
966	2734	93
967	2735	90
968	2735	87
969	2736	84
970	2737	81
971	2738	78
972	2739	76
973	2740	73
974	2741	70
975	2742	67
976	2745	64
977	2746	61
978	2747	58
979	2749	56
980	2751	53
981	2752	50
982	2754	47
983	2755	44
984	2756	41
985	2758	39
986	2760	36
987	2761	33
988	2762	30
989	2763	27
990	2764	25
991	2765	22
992	2766	19
993	2767	16
994	2768	13
995	2768	11
996	2769	8
997	2770	5
998	2772	2
999	2775	0
